gender	age	weight	height
M	17	73.6	1.73
M	17	71	1.765
M	17	62.4	1.77
M	17	71	1.87
M	17	72.4	1.765
M	17	104	1.825
M	17	70.4	1.725
M	17	79.8	1.91
M	17	63.4	1.66
M	17	75.8	1.858
M	17	74.2	1.79
M	17	54.8	1.62
M	17	64.6	1.815
M	17	51.8	1.7
M	17	67.6	1.82
M	17	60	1.67
M	17	52.2	1.72
M	17	65	1.815
M	17	59.4	1.717
M	17	77.4	1.79
M	17	73.6	1.8
M	17	95.4	1.87
M	17	66	1.765
M	17	52.6	1.727
M	17	74.4	1.87
M	17	59.4	1.773
M	17	80.8	1.742
M	17	79.6	1.775
M	17	67.4	1.767
M	17	78	1.76
M	17	65.2	1.77
M	17	78.4	1.746
M	17	55.2	1.666
M	17	74	1.78
M	17	62	1.808
M	17	64.4	1.78
M	17	72.4	1.963
M	17	72.2	1.852
M	17	73.8	1.775
M	17	68.8	1.8
M	17	57.4	1.755
M	17	81	1.9
M	17	76.4	1.825
M	17	96.6	1.838
M	17	72.6	1.79
M	17	66.4	1.764
M	17	71.6	1.885
M	17	64.2	1.845
M	17	52	1.73
M	17	67.4	1.785
M	17	75	1.84
M	17	59.2	1.73
M	17	70	1.8
M	17	58.4	1.775
M	17	62.2	1.865
M	17	74.2	1.715
M	17	74.4	1.75
M	17	62	1.72
M	17	94.6	1.84
M	17	57.4	1.775
M	17	75.8	1.793
M	17	69.6	1.737
M	17	51.6	1.75
M	17	64.6	1.705
M	17	60	1.705
M	17	73.4	1.84
M	17	61	1.71
M	17	70.8	1.748
M	17	65.8	1.845
M	17	66	1.675
M	17	63.2	1.688
M	17	92.8	1.815
M	17	61.4	1.73
M	17	51	1.662
M	17	86.2	1.825
M	17	71	1.8
M	17	67.6	1.817
M	17	85.8	1.9
M	17	61.2	1.76
M	17	66.2	1.8
M	17	72.4	1.805
M	17	62.2	1.79
M	17	74.2	1.705
M	17	59.6	1.765
M	17	58.4	1.715
M	17	63.6	1.735
M	17	80.2	1.887
M	17	68.6	1.865
M	17	90.8	1.815
M	17	72	1.8
M	17	55.6	1.795
M	17	63.8	1.71
M	17	63.8	1.72
M	17	72.4	1.715
M	17	86.4	1.8
M	17	68.6	1.745
M	17	66.4	1.83
M	17	67	1.69
M	17	60.4	1.74
M	17	67	1.73
M	17	96.4	1.82
M	17	60.2	1.775
M	17	72.4	1.72
M	17	64.2	1.77
M	17	74.8	1.705
M	17	55.8	1.77
M	17	68.4	1.73
M	17	68.2	1.753
M	17	88	1.91
M	17	59	1.74
M	17	65.2	1.765
M	17	53.6	1.725
M	18	77.2	1.814
M	18	68.2	1.71
M	18	60	1.76
M	18	74	1.887
M	18	64	1.72
M	18	55.6	1.71
M	18	62	1.75
M	18	60.6	1.71
M	18	71.6	1.84
M	18	62.2	1.775
M	18	88.4	1.865
M	18	66	1.79
M	18	82.2	1.845
M	18	77.2	1.805
M	18	71.6	1.76
M	18	66.8	1.757
M	18	74	1.837
M	18	75.6	1.85
M	18	63.6	1.775
M	18	79.4	1.84
M	18	74	1.795
M	18	60	1.715
M	18	63.4	1.73
M	18	58.8	1.698
M	18	69.2	1.73
M	18	82.4	1.795
M	18	65.8	1.8
M	18	81.4	1.81
M	18	75.2	1.82
M	18	60.4	1.723
M	18	67.8	1.732
M	18	63	1.792
M	18	74.4	1.748
M	18	71	1.905
M	18	65.6	1.745
M	18	85.2	1.923
M	18	71.2	1.75
M	18	58.2	1.76
M	18	62.4	1.73
M	18	80	1.77
M	18	60.6	1.785
M	18	80.4	1.777
M	18	82.4	1.87
M	18	75.6	1.885
M	18	62.6	1.788
M	18	74	1.81
M	18	70	1.742
M	18	62.4	1.765
M	18	60.4	1.805
M	18	71	1.723
M	18	95.2	1.82
M	18	75	1.745
M	18	90.2	1.825
M	18	78.8	1.815
M	18	69.2	1.78
M	18	76.2	1.868
M	18	70	1.793
M	18	75	1.85
M	18	65.8	1.8
M	18	65.4	1.8
M	18	63.2	1.89
M	18	81	1.75
M	18	78	1.877
M	18	72.2	1.805
M	18	79.6	1.855
M	18	88.6	1.88
M	18	65.2	1.723
M	18	69.4	1.824
M	18	89.8	1.97
M	18	72	1.835
M	18	58.2	1.78
M	18	59.2	1.8
M	18	67.8	1.81
M	18	63.6	1.74
M	18	66.4	1.76
M	18	71.8	1.83
M	18	77	1.765
M	18	63.2	1.805
M	18	62	1.615
M	18	73.4	1.82
M	18	63.2	1.845
M	18	66.8	1.77
M	18	68.6	1.735
M	18	85.8	1.94
M	18	64.4	1.792
M	18	71.2	1.682
M	18	73.2	1.78
M	18	76	1.705
M	18	71.2	1.79
M	18	80	1.74
M	18	81.4	1.745
M	18	62.8	1.745
M	18	62	1.775
M	18	69	1.803
M	18	67.4	1.765
M	18	80.4	1.82
M	18	67.5	1.855
M	18	75.6	1.86
M	18	72.6	1.82
M	18	68.2	1.82
M	18	76.8	1.8
M	18	54.4	1.725
F	17	54.8	1.617
F	17	52.8	1.63
F	17	65	1.712
F	17	54	1.62
F	17	64.6	1.673
F	17	58	1.725
